Event,Round,Diver,Country,Rank,DiveNo,Difficulty,JScore,Judge,JCountry
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,3,1.9,8,BOUSSARD Michel,FRA
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,3,1.9,8,WANG Facheng,CHN
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,3,1.9,8,BARNETT Madeleine,AUS
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,4,2.1,7.5,CALDERON Felix,PUR
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,4,2.1,8,BOYS Beverley,CAN
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,4,2.1,8,ZAITSEV Oleg,RUS
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,4,2.1,7,BOOTHROYD Sydney,GBR
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,4,2.1,8,BOUSSARD Michel,FRA
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,4,2.1,8,WANG Facheng,CHN
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,4,2.1,7.5,BARNETT Madeleine,AUS
W3mSB,Final,FU Mingxia,CHN,1,1,3,7.5,GEISSBUHLER Michael,SUI
W3mSB,Final,FU Mingxia,CHN,1,1,3,7.5,MENA Jesus,MEX
W3mSB,Final,FU Mingxia,CHN,1,1,3,8,HUBER Peter,AUT
W3mSB,Final,FU Mingxia,CHN,1,1,3,8,HOOD Robin,NZL
W3mSB,Final,FU Mingxia,CHN,1,1,3,8,HASSAN Mostafa,EGY
W3mSB,Final,FU Mingxia,CHN,1,1,3,8.5,BOUSSARD Michel,FRA
W3mSB,Final,FU Mingxia,CHN,1,1,3,7.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,FU Mingxia,CHN,1,2,3.1,6.5,GEISSBUHLER Michael,SUI
W3mSB,Final,FU Mingxia,CHN,1,2,3.1,6,MENA Jesus,MEX
