yearID,teamID,RS,RA,W,G,WP,WP_Pythag_2
2018,LAA,721,722,80,162,0.49382716049382713,0.4993069996398127
2018,LAN,804,610,92,163,0.5644171779141104,0.6346645511705266
2018,MIA,589,809,63,161,0.391304347826087,0.34643529771260695
2018,MIL,754,659,96,163,0.588957055214724,0.5669302959621938
2018,MIN,738,775,78,162,0.48148148148148145,0.47555989029651546
2018,NYA,851,669,100,162,0.6172839506172839,0.6180444492994311
2018,NYN,676,707,77,162,0.47530864197530864,0.4775962166540381
2018,OAK,813,674,97,162,0.5987654320987654,0.592667082120969
2018,PHI,677,728,80,162,0.49382716049382713,0.4637488326066742
2018,PIT,692,693,82,161,0.5093167701863354,0.4992779787157509
2018,SDN,617,767,66,162,0.4074074074074074,0.39287682486083275
2018,SEA,677,711,89,162,0.5493827160493827,0.47551901229444415
2018,SFN,603,699,73,162,0.4506172839506173,0.42666596261484846
2018,SLN,759,691,88,162,0.5432098765432098,0.5467936391023974
2018,TBA,716,646,90,162,0.5555555555555556,0.5512596078161494
2018,TEX,737,848,67,162,0.41358024691358025,0.43031024192072553
2018,TOR,709,832,73,162,0.4506172839506173,0.42068700022177496
2018,WAS,771,682,82,162,0.5061728395061729,0.56102362762076885
2019,ARI,813,743,85,162,0.5246913580246914,0.5448962834846639
2019,ATL,855,743,97,162,0.5987654320987654,0.5697450030161939
2019,BAL,729,981,54,162,0.3333333333333333,0.35576401691790477
2019,BOS,901,828,84,162,0.5185185185185185,0.542145807524451
2019,CHA,708,832,72,161,0.4472049689440994,0.41999919563497917
2019,CHN,814,717,84,162,0.5185185185185185,0.5631039743006837
2019,CIN,701,711,75,162,0.46296296296296297,0.492918202226453
2019,CLE,769,657,93,162,0.5740740740740741,0.5780598430122873
2019,COL,835,958,71,162,0.4382716049382716,0.4317212067698294
2019,DET,582,915,47,161,0.2919254658385093,0.28804310391011856
2019,HOU,920,640,107,162,0.6604938271604939,0.6738853503184713
2019,KCA,691,869,59,162,0.36419753086419754,0.38736388992099896
2019,LAA,769,868,72,162,0.4444444444444444,0.43974389958246113
2019,LAN,886,613,106,162,0.654320987654321,0.67627469815165
2019,MIA,615,808,57,162,0.35185185185185186,0.3668209048879389
2019,MIL,769,766,89,162,0.5493827160493827,0.5019543899290139
2019,MIN,939,754,101,162,0.6234567901234568,0.6079840743271617
2019,NYA,943,739,103,162,0.6358024691358025,0.6195259758807834
2019,NYN,791,737,86,162,0.5308641975308642,0.5352962313384951
2019,OAK,845,680,97,162,0.5987654320987654,0.606944769109803
2019,PHI,774,794,81,162,0.5,0.4872469727826975
2019,PIT,758,911,69,162,0.42592592592592593,0.40909230073656894
2019,SDN,682,789,70,162,0.43209876543209874,0.42764321079028544
2019,SEA,758,893,68,162,0.41975308641975306,0.4187744576764214
2019,SFN,678,773,77,162,0.47530864197530864,0.43480736615989396
2019,SLN,764,662,91,162,0.5617283950617284,0.5711646476309764
2019,TBA,769,656,96,162,0.5925925925925926,0.5788027174397106
2019,TEX,810,878,78,162,0.48148148148148145,0.45978090854557585
2019,TOR,726,828,67,162,0.41358024691358025,0.4346445005195191
2019,WAS,873,724,93,162,0.5740740740740741,0.592494781564248
2020,ARI,269,295,25,60,0.4166666666666667,0.4539984691252682
2020,ATL,348,288,35,60,0.5833333333333334,0.5935074100211715
2020,BAL,274,294,25,60,0.4166666666666667,0.4648323344395463
2020,BOS,292,351,24,60,0.4,0.4090087064974936
2020,CHA,306,246,35,60,0.5833333333333334,0.6074264362447455
2020,CHN,265,240,34,60,0.5666666666666667,0.5493839233326814
2020,CIN,243,243,31,60,0.5166666666666667,0.5
2020,CLE,248,209,35,60,0.5833333333333334,0.5847221562009792
2020,COL,275,353,26,60,0.43333333333333335,0.37768311076041033
2020,DET,249,318,23,58,0.39655172413793105,0.38008275862068963
2020,HOU,279,275,29,60,0.48333333333333334,0.5072198402251965
2020,KCA,248,272,26,60,0.43333333333333335,0.45394426074633915
2020,LAA,294,321,26,60,0.43333333333333335,0.4561820168147057
2020,LAN,349,213,43,60,0.7166666666666667,0.7286056110546151
2020,MIA,263,304,31,60,0.5166666666666667,0.4280657239223938
2020,MIL,247,264,29,60,0.48333333333333334,0.4667686775563291
2020,MIN,269,215,36,60,0.6,0.6101985057258024
2020,NYA,315,270,33,60,0.55,0.5764705882352941
2020,NYN,286,308,26,60,0.43333333333333335,0.46301369863013697
2020,OAK,274,232,36,60,0.6,0.5824359968968192
2020,PHI,306,311,28,60,0.4666666666666667,0.49189680442536915
2020,PIT,219,298,19,60,0.31666666666666665,0.35068182649069574
2020,SDN,325,241,37,60,0.6166666666666667,0.6452115377567103
2020,SEA,254,303,27,60,0.45,0.4127043019350712
2020,SFN,299,297,29,60,0.48333333333333334,0.5033556669106469
2020,SLN,240,229,30,58,0.5172413793103449,0.5234412628020465
2020,TBA,289,229,40,60,0.6666666666666666,0.6142966417087127
2020,TEX,224,312,22,60,0.36666666666666664,0.3401301518438178
2020,TOR,302,312,32,60,0.5333333333333333,0.4837176740140442
2020,WAS,293,301,26,60,0.43333333333333335,0.4865344290167186
2021,ARI,679,893,52,162,0.32098765432098764,0.36634458756128374
2021,ATL,790,656,88,161,0.546583850931677,0.5918803986206844
2021,BAL,659,956,52,162,0.32098765432098764,0.32211506011272667
