row_idx,player_szn,szn,PLAYER_ID,PLAYER_NAME,FGA_freq_Spotup_OG,FGA_freq_PRRollMan_OG,FGA_freq_Postup_OG,FGA_freq_Cut_OG,FGA_freq_OffRebound_OG,FGA_freq_PRBallHandler_OG,FGA_freq_Isolation_OG,FGA_freq_OffScreenOrHandoff_OG
3502,Derrick Jones Jr. 2016,2016,1627884,Derrick Jones Jr.,0.22727272727272727,0,0,0.4090909090909091,0.36363636363636365,0,0,0
3503,Derrick Jones Jr. 2017,2017,1627884,Derrick Jones Jr.,0.5909090909090909,0,0,0,0.4090909090909091,0,0,0
3504,Derrick Jones Jr. 2018,2018,1627884,Derrick Jones Jr.,0.41860465116279066,0.0697674418604651,0,0.2790697674418604,0.23255813953488372,0,0,0
3505,Derrick Jones Jr. 2019,2019,1627884,Derrick Jones Jr.,0.46511627906976744,0.11627906976744186,0,0.2558139534883721,0.13953488372093023,0.023255813953488372,0,0
3506,Derrick Jones Jr. 2020,2020,1627884,Derrick Jones Jr.,0.5365853658536586,0.048780487804878044,0,0.24390243902439024,0.17073170731707313,0,0,0
3507,Derrick Jones Jr. 2021,2021,1627884,Derrick Jones Jr.,0.4193548387096775,0.12903225806451615,0,0.22580645161290322,0.22580645161290322,0,0,0
3508,Derrick Jones Jr. 2022,2022,1627884,Derrick Jones Jr.,0.39999999999999997,0.16666666666666666,0,0.2333333333333333,0.19999999999999998,0,0,0
3509,Shaquille Harrison 2017,2017,1627885,Shaquille Harrison,0.4137931034482758,0,0,0.13793103448275862,0,0.3448275862068966,0.10344827586206895,0
3510,Shaquille Harrison 2018,2018,1627885,Shaquille Harrison,0.4186046511627907,0,0,0.06976744186046512,0.04651162790697675,0.27906976744186046,0.11627906976744187,0.06976744186046512
3511,Shaquille Harrison 2019,2019,1627885,Shaquille Harrison,0.4230769230769231,0,0,0.03846153846153846,0.07692307692307691,0.26923076923076916,0.11538461538461536,0.07692307692307691
3512,Shaquille Harrison 2020,2020,1627885,Shaquille Harrison,1,0,0,0,0,0,0,0
3513,Shaquille Harrison 2022,2022,1627885,Shaquille Harrison,0.5333333333333334,0,0,0,0,0.4666666666666667,0,0
