ydl,next_ydl,season,punter,pq
63,83,2015,C.Schmidt,-0.28573157614037253
90,55,2015,C.Schmidt,-0.2745374653031799
42,89,2015,R.Quigley,-0.005680934244049085
81,59,2015,R.Quigley,-0.0040541305277729716
58,92,2015,P.McAfee,0.7021134508058999
41,94,2015,R.Quigley,-0.004547410823056716
95,62,2015,P.McAfee,0.7157601144918855
71,71,2015,P.McAfee,0.7348355353856447
84,51,2015,R.Quigley,0.004134561322158643
38,91,2015,R.Quigley,-0.003801075060680401
68,19,2015,K.Huber,0.8752264768972644
49,77,2015,M.Scifres,0.5788278785024737
83,80,2015,M.Scifres,0.5633343504285636
59,95,2015,K.Huber,0.7937277470175005
98,38,2015,M.Scifres,0.5934660721258557
58,80,2015,K.Huber,0.8123702887112535
95,44,2015,J.Ryan,0.5339314659917207
62,60,2015,T.Masthay,0.22312289995704818
42,89,2015,J.Ryan,0.5276754010598574
45,92,2015,J.Ryan,0.526635423099614
70,76,2015,T.Masthay,0.19703564967363
58,80,2015,J.Ryan,0.5310367318641597
90,54,2015,T.Masthay,0.20473024286262395
56,80,2015,J.Ryan,0.5280450264327717
49,85,2015,J.Berry,-0.4157689997822071
59,83,2015,B.Pinion,-0.42881072188018826
96,35,2015,B.Pinion,-0.42154924055402904
83,57,2015,B.Pinion,-0.43496461480046533
56,83,2015,J.Berry,-0.414627041656639
94,64,2015,J.Berry,-0.4105679432290038
67,72,2015,J.Hekker,0.6813558910352663
51,89,2015,T.Way,-0.17516895507438346
74,72,2015,J.Hekker,0.6767640433660029
75,66,2015,J.Hekker,0.6818095416624044
72,81,2015,J.Hekker,0.6795026375094199
79,64,2015,T.Way,-0.16796374574554745
65,82,2015,J.Hekker,0.694841249589243
67,82,2015,J.Hekker,0.7021697333174469
73,45,2015,T.Way,-0.16321320471996525
85,68,2015,T.Way,-0.19474041805591297
68,66,2015,T.Way,-0.17549514038088662
70,91,2015,J.Hekker,0.7120519436968411
56,80,2015,T.Way,-0.18322306405193758
64,77,2015,J.Hekker,0.7390386463058218
35,96,2015,T.Morstead,0.8536559872779704
47,93,2015,J.Schum,-0.43382174768317927
98,40,2015,T.Morstead,0.8610388374087851
72,65,2015,T.Morstead,0.8507734376993435
57,90,2015,J.Schum,-0.42215447265045714
81,54,2015,T.Morstead,0.8419306921621075
63,76,2015,J.Schum,-0.40684650084291285
79,62,2015,B.Kern,0.8046373772237849
85,48,2015,B.Kern,0.8016092871825069
45,89,2015,A.Lee,0.9661466165305201
61,80,2015,A.Lee,0.9639769311498906
65,70,2015,B.Kern,0.7867165618112042
58,63,2015,B.Kern,0.7760919162662162
59,83,2015,A.Lee,0.9621633599208865
74,80,2015,B.Kern,0.7470921185707015
63,90,2015,A.Lee,0.9624699708380402
59,69,2015,B.Kern,0.7634484782991342
79,67,2015,A.Lee,0.9776277630223887
74,77,2015,A.Lee,0.9810237846821519
83,77,2015,M.Bosher,0.547350191466545
58,87,2015,C.Jones,0.0370138305751635
79,56,2015,M.Bosher,0.5731883957806265
74,81,2015,M.Bosher,0.562570674290523
84,47,2015,M.Bosher,0.5813074539663635
43,87,2015,C.Jones,0.04669692873226854
51,89,2015,C.Jones,0.04543860867228691
82,62,2015,C.Jones,0.05154078018238956
75,77,2015,M.Darr,-0.41848828605025634
66,81,2015,M.Darr,-0.3992577610786021
65,81,2015,M.Darr,-0.38663244858680973
82,38,2015,C.Schmidt,-0.2670298690611375
53,91,2015,M.Darr,-0.37535440909373236
59,86,2015,C.Schmidt,-0.295395408363175
95,48,2015,C.Schmidt,-0.2844275654265803
86,56,2015,P.O'Donnell,-0.4258120864942981
50,96,2015,J.Ryan,0.5230173263419394
59,19,2015,P.O'Donnell,-0.42151272321370237
73,74,2015,P.O'Donnell,-0.507587746345314
53,92,2015,J.Ryan,0.5361937259159163
45,87,2015,P.O'Donnell,-0.49511651791893635
83,66,2015,J.Ryan,0.5458440833531988
52,80,2015,P.O'Donnell,-0.49289551307933227
66,86,2015,P.O'Donnell,-0.49643103736155825
65,71,2015,J.Ryan,0.5556538782217717
85,85,2015,P.O'Donnell,-0.47603079485831673
54,89,2015,P.O'Donnell,-0.4305962489571619
72,80,2015,P.O'Donnell,-0.41960293118542685
75,71,2015,P.O'Donnell,-0.4002266039881363
61,67,2015,S.Koch,0.7418068907720533
61,92,2015,K.Huber,0.80797191549563
53,80,2015,S.Koch,0.7221526043068494
76,59,2015,S.Koch,0.7133794146400949
72,64,2015,K.Huber,0.8244321220569794
77,63,2015,K.Huber,0.8142632703719482
65,78,2015,S.Koch,0.7021359669321324
81,66,2015,S.Martin,0.235836926323031
57,88,2015,B.Colquitt,0.18086274995254759
68,78,2015,S.Martin,0.24434887982554118
42,89,2015,B.Colquitt,0.190240010195063
66,80,2015,S.Martin,0.2520154887655402
51,86,2015,B.Colquitt,0.19088720918914356
59,92,2015,S.Martin,0.2599266222821051
72,78,2015,B.Colquitt,0.19188869951864143
67,76,2015,S.Martin,0.2768647314215146
67,55,2015,B.Colquitt,0.205291943110398
72,77,2015,B.Kern,0.7443392854603008
62,88,2015,P.McAfee,0.7339290566016767
80,63,2015,B.Kern,0.7535224633963421
44,87,2015,B.Kern,0.753641393180231
78,70,2015,P.McAfee,0.7461065318632273
79,83,2015,P.McAfee,0.7535992442857169
81,66,2015,P.McAfee,0.7814404121552728
74,79,2015,P.McAfee,0.7872243482286218
42,98,2015,B.Kern,0.7492031515615727
80,69,2015,B.Kern,0.7601758493828822
83,64,2015,B.Anger,0.41217880653766953
52,90,2015,B.Anger,0.4197413023383065
82,67,2015,B.Anger,0.42622072123906085
73,58,2015,B.Anger,0.43666549803972105
64,76,2015,T.Masthay,0.20838368783783043
69,69,2015,D.Colquitt,0.8639040661744057
51,89,2015,D.Colquitt,0.856697698775647
81,56,2015,D.Colquitt,0.858743574835233
79,68,2015,D.Colquitt,0.8495628678351134
78,70,2015,D.Colquitt,0.8550570266968198
70,55,2015,T.Masthay,0.20813726641353564
63,98,2015,D.Colquitt,0.8620049866451414
59,92,2015,T.Masthay,0.18516228427268613
66,83,2015,T.Masthay,0.20247421510214264
51,73,2015,T.Masthay,0.21500649316504505
37,94,2015,B.Nortman,0.2642720262396792
66,81,2015,T.Morstead,0.82991842412334
81,83,2015,B.Nortman,0.27137369760453645
57,88,2015,T.Morstead,0.8363978556891227
74,71,2015,B.Nortman,0.30449078359275566
79,55,2015,B.Nortman,0.3099398354620165
77,69,2015,A.Lee,0.9918370479020068
61,80,2015,M.King,0.251145838084143
53,88,2015,A.Lee,0.9952099740398606
80,67,2015,M.King,0.25289642232046744
62,80,2015,A.Lee,0.9967339993324958
84,92,2015,A.Lee,0.9959349480723377
77,43,2015,M.King,0.2613497332137632
38,98,2015,M.King,0.23047196504888037
73,71,2015,R.Quigley,2.2156125283782742e-4
52,98,2015,R.Quigley,0.005780304963204182
91,63,2015,D.Jones,0.8796539947030139
50,91,2015,R.Quigley,0.02599203065888882
71,67,2015,D.Jones,0.894363096705715
65,78,2015,R.Quigley,0.03436449308124661
