ID,TEAM,Team_Season,Season End,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,+/-,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,FTA RATE,FT Rate,OPP EFG%,OPP FTA RATE,OPP FT Rate,OPP TOV %,OPP REB %,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_+/-_Per_Game,Possessions,Plus Minus Per Possession,Shooting Factor,Crashing Factor,Protecting Factor,Attacking Factor,Residual W
21,Chicago Bulls,Chicago Bulls2005,2005,82,47,35,0.573,3966,7745,2849,6592,43.2,511,1433,35.7,1536,2048,75,1001,2591,3592,1743,1371,576,369,434,87,61.2,1.27,31.7,69.1,50.6,17.8,47.1,51.7,93.41,0.311,0.233009708737864,45.4,0.352,0.261576971214017,16.5,30.9,33.7,79.9,42.2,5.1,15.2,33.4,20.9,28.1,74.4,11.9,30.8,42.7,20.9,15.5,8.4,5.3,4.5,-1.1,7548.5952,0.0115253232813438,1.7,100.8,1.3,-2.85672624761534,4.76726230297895
22,Charlotte Bobcats,Charlotte Bobcats2005,2005,82,18,64,0.22,3976,7729,2961,6859,43.2,320,881,36.3,1487,2096,70.9,1083,2335,3418,1794,1192,695,440,446,-491,60.6,1.51,32.7,67.6,49.2,15.4,45.5,49.7,93.54,0.306,0.216795451231958,49.7,0.35,0.268261964735516,16.7,32.4,36.8,79.4,46.3,5.4,14.9,36.1,21.3,27.8,76.7,11.7,31.5,43.2,21.6,15.8,7.6,5.4,5.4,6,7574.6304,-0.0648216446310041,-4.2,100.3,-1.3,-5.14665135035584,-7.92404172699837
23,Memphis Grizzlies,Memphis Grizzlies2005,2005,82,45,37,0.549,3941,7661,2802,6271,44.7,531,1486,35.7,1526,2024,75.4,887,2307,3194,1716,1197,699,476,476,188,61.2,1.43,30.8,66.3,48.7,16.3,48.9,53.5,89.65,0.323,0.243342369638016,46.6,0.351,0.270448548812665,17.7,33.7,32.7,75.8,43.2,5.2,14.8,35.1,20.5,26.6,77.1,12.1,29.1,41.2,19.9,15.9,7.5,5.8,5.8,-2.3,7172.6976,0.0262105013321627,2.3,97.1,-1.4,-2.71061791746486,-3.03407379287412
24,Detroit Pistons,Detroit Pistons2005,2005,82,54,28,0.659,3991,7653,2851,6421,44.4,363,1053,34.5,1588,2150,73.9,1054,2507,3561,1787,1133,576,497,367,317,62.7,1.58,34,69.3,51.8,15.4,47.2,51.9,88.59,0.335,0.247313502569693,46.1,0.276,0.207070707070707,15.4,30.7,34,79.2,43,5,14.8,33.8,16.4,21.8,75.1,11.3,28.3,39.6,19.7,13.8,7.4,4.5,6.1,-3.9,7148.16,0.0443470767302355,1.1,103.3,0,4.02427954989862,1.31627869960357
25,Indiana Pacers,Indiana Pacers2005,2005,82,44,38,0.537,3981,7626,2668,6169,43.2,542,1575,34.4,1748,2206,79.2,868,2418,3286,1489,1173,615,357,398,62,55.8,1.27,29.6,68.7,49.4,16,47.6,53.4,88.71,0.358,0.28335224509645,47.2,0.35,0.261096605744125,15.5,31.3,33.8,76.6,44,4.8,13.1,36.5,20,26.9,74.3,11.9,29.5,41.3,18.8,13.9,6.7,4.9,4.4,-0.8,7146.8544,0.00867514524991582,0.399999999999999,98.3,0.5,2.22556393523247,3.74159471321039
26,Utah Jazz,Utah Jazz2005,2005,82,26,56,0.317,3956,7625,2828,6301,44.9,250,762,32.8,1719,2272,75.7,1047,2243,3290,1826,1292,541,374,474,-350,64.6,1.41,35.1,69.5,51.8,17.4,46.9,52.2,90.02,0.361,0.272813839073163,49.9,0.445,0.339752407152682,15.9,30.5,33.3,72.7,45.8,5.9,15.8,37.5,24.7,32.4,76.4,10.5,27.2,37.7,19.4,14.4,7.9,5.8,4.6,4.3,7243.8528,-0.048316829408792,-3,104.6,1.5,-6.69385680795193,-0.329559117220967
27,Portland Trail Blazers,Portland Trail Blazers2005,2005,82,27,55,0.329,3946,7621,2896,6422,45.1,420,1161,36.2,1409,1944,72.5,970,2404,3374,1722,1308,583,544,414,-328,59.5,1.32,33.1,65,49.6,17.5,48.4,52.4,91.05,0.303,0.219402055434444,47.9,0.271,0.203836930455635,14.7,35,37.3,83.4,44.7,5.4,15.6,34.3,17,22.6,75.5,14,28.2,42.2,23.5,13.4,8.5,5,6.6,4,7310.7456,-0.0448654648850043,0.5,98.1,2.8,1.55651249788086,-5.59147955601644
28,Atlanta Hawks,Atlanta Hawks2005,2005,82,13,69,0.159,3971,7605,2942,6672,44.1,304,973,31.2,1417,1994,71.1,1100,2335,3435,1614,1319,629,344,484,-796,54.9,1.22,32.6,69.6,50.2,17.1,46.4,50.4,93.09,0.299,0.212380095923261,51.3,0.375,0.288831835686778,15.7,30.4,37.1,77.9,47.6,5.7,15,37.9,22.5,29.2,77,11,30.3,41.3,22,14.8,8.7,5.9,4.2,9.7,7457.6256,-0.106736385371773,-4.9,102.2,1.4,-7.64517397635165,-2.51031033515595
29,New Jersey Nets,New Jersey Nets2005,2005,82,42,40,0.512,3981,7496,2753,6419,42.9,435,1203,36.2,1555,2039,76.3,855,2387,3242,1772,1164,650,308,402,-123,64.4,1.52,29.8,70.1,49.5,15.5,46.3,51.2,90.41,0.318,0.242249571584359,47.9,0.374,0.277925531914894,17.1,29.9,33,75.2,43.9,5.9,16.1,36.8,20.9,28.1,74.4,10.7,30.5,41.2,20.3,15.6,7.3,4.9,3.8,1.5,7320.1536,-0.0168029261025342,-1.6,99.9,-1.6,-3.56759603305347,4.74772948702413
30,New Orleans Hornets,New Orleans Hornets2005,2005,82,18,64,0.22,3986,7252,2718,6556,41.5,415,1316,31.5,1401,1830,76.6,1019,2281,3300,1724,1217,550,310,452,-580,63.4,1.42,32.9,67.5,49.4,16.5,44.6,49.3,88.97,0.279,0.213697376449054,49.1,0.337,0.260416666666667,15.8,32.5,34.7,76.8,45.2,6,16.4,36.7,20,25.9,77.5,11.5,30.3,41.9,21.2,14.2,7.7,5.5,3.8,7.1,7256.832,-0.0799246833880128,-4.5,100.4,0.699999999999999,-4.67192902176124,-0.974850766147611
